# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04811e-05 to 26.3542 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                   12:h                     13:h_prime               14:eta                   15:eta_prime             16:H_T_Nb_prime       17:delta_shift_over_w_Nb    18:t_g                   19:t_b                   20:t_cdm                 21:t_ur                  22:t_ncdm[0]             23:t_ncdm[1]             24:t_ncdm[2]             25:t_tot                 26:shear_ncdm[0]         27:shear_ncdm[1]         28:shear_ncdm[2]         29:cs2_ncdm[0]           30:cs2_ncdm[1]           31:cs2_ncdm[2]           32:l3_ncdm[0]            33:l3_ncdm[1]            34:l3_ncdm[2]         
       2.940952461413e-01      -2.644407503965e-02      -6.850176550270e+02      -7.972604113035e+02      -2.643453591624e-02      -7.608421751841e-02      -7.608421751823e-02      -7.608421751852e-02      -7.693498032533e+02       1.934346007740e-02       1.934345987647e-02       1.594519355024e+03       1.266123974743e+00       3.232284634247e-02      -3.010075064971e-07       2.177091344362e-07      -2.445971952354e-04      -9.126052664477e-07       6.257348948809e-01       6.330610843491e-01      -9.030225182326e-07       9.110912030346e-05       9.110912045416e-05       9.110912017154e-05       6.211310071734e-01       3.054402986685e-04       3.054402985210e-04       3.054402987841e-04       1.645544750508e-01       1.645544750506e-01       1.645544750509e-01       1.682246632507e-04       1.682246623594e-04       1.682246640296e-04 
       3.040047458852e-01      -2.523802935745e-02      -7.003840718156e+02      -8.127167905453e+02      -2.522892184385e-02      -7.353582878359e-02      -7.353582878361e-02      -7.353582878359e-02      -7.845816889267e+02       1.846136337912e-02       1.846136321635e-02       1.625432185307e+03       1.291110588723e+00       3.084809395150e-02      -2.862818245498e-07       2.094412050402e-07      -2.326306128229e-04      -8.679978114330e-07       6.383612284708e-01       6.455544355162e-01      -8.588455119421e-07       5.249937453626e-05       5.249937454776e-05       5.249937454297e-05       6.334305404305e-01       3.175609878244e-04       3.175609878196e-04       3.175609878096e-04       1.642060472949e-01       1.642060472948e-01       1.642060472948e-01       8.149193992871e-04       8.149193992220e-04       8.149193992443e-04 
       3.142756150161e-01      -2.415202260879e-02      -7.204890807877e+02      -8.304338017585e+02      -2.414330101281e-02      -6.989043226155e-02      -6.989043226142e-02      -6.989043226144e-02      -8.024194961529e+02       1.766714762435e-02       1.766714773254e-02       1.660866276377e+03       1.320312384307e+00       2.951963067693e-02      -2.722014582649e-07       1.886633819493e-07      -2.211900040572e-04      -8.253743142247e-07       6.533160565492e-01       6.601553755489e-01      -8.166043857935e-07       6.748213148628e-05       6.748213148759e-05       6.748213147610e-05       6.478355832705e-01      -1.767939146769e-04      -1.767939147149e-04      -1.767939147162e-04       1.630773454756e-01       1.630773454755e-01       1.630773454755e-01       1.093355875116e-03       1.093355875043e-03       1.093355875156e-03 
       3.249291177725e-01      -2.307771943390e-02      -7.386554219999e+02      -8.477082444333e+02      -2.306938264107e-02      -6.954628037729e-02      -6.954628037708e-02      -6.954628037711e-02      -8.195937005817e+02       1.688137006595e-02       1.688137001781e-02       1.695415225312e+03       1.348483777544e+00       2.820596080265e-02      -2.591604485070e-07       1.982858207363e-07      -2.105924481984e-04      -7.858671763403e-07       6.675477129511e-01       6.742411112905e-01      -7.774813161036e-07       1.111856957979e-04       1.111856958517e-04       1.111856957802e-04       6.617028975027e-01       4.274765666756e-05       4.274765654892e-05       4.274765660785e-05       1.678521804184e-01       1.678521804183e-01       1.678521804182e-01       5.753284107646e-04       5.753284103915e-04       5.753284108485e-04 
       3.359894200650e-01      -2.195619986677e-02      -7.504522955130e+02      -8.625212883218e+02      -2.194826990774e-02      -6.550228575225e-02      -6.550228575226e-02      -6.550228575214e-02      -8.337468477270e+02       1.606088037819e-02       1.606088069208e-02       1.725041372107e+03       1.371816710101e+00       2.683542609713e-02      -2.470565992509e-07       1.701144742240e-07      -2.007561029938e-04      -7.491449323298e-07       6.789350300138e-01       6.859076138807e-01      -7.411698132295e-07       9.423217162207e-05       9.423217163515e-05       9.423217160429e-05       6.731275258490e-01      -6.441476370850e-04      -6.441476370883e-04      -6.441476371564e-04       1.656193843906e-01       1.656193843906e-01       1.656193843904e-01       3.410799220254e-04       3.410799219225e-04       3.410799221230e-04 
       3.474841515509e-01      -2.082239111772e-02      -7.579769272574e+02      -8.754879110756e+02      -2.081487446815e-02      -6.412110055201e-02      -6.412110055193e-02      -6.412110055215e-02      -8.457105605073e+02       1.523133964847e-02       1.523133974939e-02       1.750974674331e+03       1.391618505201e+00       2.545024329898e-02      -2.354218854298e-07       1.770978972500e-07      -1.913033639002e-04      -7.138216730851e-07       6.883358624141e-01       6.958085463350e-01      -7.062656606777e-07      -4.355718267059e-05      -4.355718268465e-05      -4.355718270829e-05       6.827825853418e-01      -2.189344741020e-04      -2.189344740946e-04      -2.189344740954e-04       1.673852436807e-01       1.673852436808e-01       1.673852436807e-01       5.405180254399e-04       5.405180254299e-04       5.405180255621e-04 
       3.594451026043e-01      -1.975790065851e-02      -7.676950619546e+02      -8.892487978670e+02      -1.975076997417e-02      -5.820110841946e-02      -5.820110841943e-02      -5.820110841942e-02      -8.586700637874e+02       1.445265171691e-02       1.445265154005e-02       1.778496504171e+03       1.413001052014e+00       2.414951972118e-02      -2.238847784695e-07       1.705935319817e-07      -1.819272181093e-04      -6.788207906542e-07       6.987188628360e-01       7.064998543527e-01      -6.716543202416e-07       2.303472314698e-05       2.303472315237e-05       2.303472315363e-05       6.932449202695e-01       4.346961180289e-04       4.346961180136e-04       4.346961180195e-04       1.648964299432e-01       1.648964299432e-01       1.648964299432e-01       2.835721445228e-04       2.835721444966e-04       2.835721444864e-04 
       3.719090988185e-01      -1.879899991397e-02      -7.832956841522e+02      -9.055509853227e+02      -1.879221368018e-02      -5.547795286903e-02      -5.547795286909e-02      -5.547795286904e-02      -8.746433869527e+02       1.375130043340e-02       1.375130038295e-02       1.811100934382e+03       1.439229740380e+00       2.297724170932e-02      -2.125419255479e-07       1.580529284170e-07      -1.727106120961e-04      -6.444475152781e-07       7.118829168669e-01       7.196142325644e-01      -6.376257606174e-07       6.219388212928e-05       6.219388213093e-05       6.219388212159e-05       7.061429630928e-01       1.820445792914e-04       1.820445793088e-04       1.820445792957e-04       1.658204310415e-01       1.658204310415e-01       1.658204310415e-01      -5.070023546520e-04      -5.070023546594e-04      -5.070023546139e-04 
       3.849191120809e-01      -1.790059576213e-02      -8.014376041300e+02      -9.232062865992e+02      -1.789413160654e-02      -5.392755995913e-02      -5.392755995961e-02      -5.392755995922e-02      -8.921317312634e+02       1.309412254266e-02       1.309412251478e-02       1.846411589595e+03       1.467919536095e+00       2.187863159863e-02      -2.017414150900e-07       1.523988239964e-07      -1.639339023867e-04      -6.117243037072e-07       7.263683805762e-01       7.339591628235e-01      -6.052242461182e-07      -1.471047898611e-04      -1.471047899323e-04      -1.471047898646e-04       7.202622398941e-01       1.250418465888e-04       1.250418467727e-04       1.250418466109e-04       1.653965339149e-01       1.653965339155e-01       1.653965339150e-01       3.580295966900e-04       3.580295970570e-04       3.580295966639e-04 
       3.985256911790e-01      -1.700097629479e-02      -8.163257965375e+02      -9.398222711752e+02      -1.699483686984e-02      -4.883239459769e-02      -4.883239459773e-02      -4.883239459770e-02      -9.082587851516e+02       1.243607488672e-02       1.243607480642e-02       1.879643608436e+03       1.494448455578e+00       2.077908005157e-02      -1.915497937935e-07       1.396073299775e-07      -1.556523278828e-04      -5.808230418720e-07       7.395142479858e-01       7.472236531394e-01      -5.746494015357e-07      -2.667337755622e-05      -2.667337755080e-05      -2.667337755183e-05       7.332829796680e-01       2.057484029163e-04       2.057484029307e-04       2.057484029232e-04       1.642312778606e-01       1.642312778606e-01       1.642312778606e-01       1.034120909296e-03       1.034120909287e-03       1.034120909290e-03 
