# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.06204e-05 to 11.102 h/Mpc,
# number of wavenumbers equal to 616
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:d_cb                  11:phi                   12:psi                   13:h                     14:h_prime               15:eta                   16:eta_prime             17:H_T_Nb_prime          18:k2gamma_Nb            19:t_g                   20:t_b                   21:t_cdm                 22:t_cb                  23:t_ur                  24:t_ncdm[0]             25:t_ncdm[1]             26:t_ncdm[2]             27:t_tot              
       6.280096175951e-01      -7.546727101891e-03      -9.421792031629e+02      -1.093823288201e+03      -7.543845953787e-03      -1.671137389968e+00      -1.671137389968e+00      -1.671137389968e+00      -1.016846487713e+03      -1.070362934069e+03       5.795382176847e-03       5.795381972967e-03       2.187646346651e+03       1.718427660496e+00       9.743087345909e-03      -2.645456406915e-07       6.149696206833e-07      -4.718747809274e-10      -1.816345652199e-07       8.497019696802e-01       8.592136515809e-01       1.716955173322e+00      -1.786673013850e-07       2.857285737514e-03       2.857285737514e-03       2.857285737515e-03       8.129114802523e-01 
       6.312278476440e-01      -7.487747362477e-03      -9.442262843786e+02      -1.096196087561e+03      -7.484889328677e-03      -1.660240953691e+00      -1.660240953691e+00      -1.660240953691e+00      -1.019052150332e+03      -1.072685342432e+03       5.748881866977e-03       5.748881657540e-03       2.192391944851e+03       1.722155406988e+00       9.664912570999e-03      -2.624471090052e-07       6.122147144619e-07      -4.682276235482e-10      -1.780700740646e-07       8.515460035395e-01       8.610775283673e-01       1.720679859829e+00      -1.751266125101e-07       2.764275615885e-03       2.764275615887e-03       2.764275615883e-03       8.146707237290e-01 
       6.344460777760e-01      -7.429548810875e-03      -9.462766025112e+02      -1.098563471850e+03      -7.426713580369e-03      -1.646158810938e+00      -1.646158810938e+00      -1.646158810938e+00      -1.021253802567e+03      -1.075003674249e+03       5.703002017070e-03       5.703001822074e-03       2.197126712925e+03       1.725876383942e+00       9.587780911421e-03      -2.603596711617e-07       6.049383118853e-07      -4.644453843915e-10      -1.790606834951e-07       8.533874668567e-01       8.629380158301e-01       1.724397898880e+00      -1.761407016431e-07       2.735207097429e-03       2.735207097430e-03       2.735207097429e-03       8.164296521755e-01 
       6.376643079899e-01      -7.372116024702e-03      -9.483271635800e+02      -1.100924636141e+03      -7.369303296067e-03      -1.633290081141e+00      -1.633290081141e+00      -1.633290081141e+00      -1.023450548563e+03      -1.077316785928e+03       5.657726059048e-03       5.657725861908e-03       2.201849041014e+03       1.729588824341e+00       9.511663936160e-03      -2.582894234158e-07       6.013615392918e-07      -4.607576062115e-10      -1.764035446622e-07       8.552252356658e-01       8.647942386638e-01       1.728107493175e+00      -1.735067309321e-07       2.747789633788e-03       2.747789633784e-03       2.747789633786e-03       8.181864301886e-01 
       6.408825382843e-01      -7.315428795618e-03      -9.503748210307e+02      -1.103277902823e+03      -7.312638278480e-03      -1.622241169792e+00      -1.622241169792e+00      -1.622241169792e+00      -1.025640605048e+03      -1.079622772601e+03       5.613033005934e-03       5.613032816629e-03       2.206555573885e+03       1.733289733776e+00       9.436526435130e-03      -2.562474551119e-07       5.958418875451e-07      -4.572595949538e-10      -1.757744230156e-07       8.570576334998e-01       8.666446939876e-01       1.731805615739e+00      -1.729004777703e-07       2.752688299955e-03       2.752688299956e-03       2.752688299957e-03       8.199374674113e-01 
       6.441007686582e-01      -7.259473111850e-03      -9.524171513085e+02      -1.105622710210e+03      -7.256704523899e-03      -1.610888849430e+00      -1.610888849430e+00      -1.610888849430e+00      -1.027823072944e+03      -1.081920784533e+03       5.568907356765e-03       5.568907163940e-03       2.211245188154e+03       1.736977812838e+00       9.362342830036e-03      -2.542456294687e-07       5.929126252082e-07      -4.538394579389e-10      -1.726756309593e-07       8.588838109708e-01       8.684887365947e-01       1.735490940038e+00      -1.698242632504e-07       2.695207856243e-03       2.695207856242e-03       2.695207856246e-03       8.216797498660e-01 
       6.473189991103e-01      -7.204209747573e-03      -9.544508910022e+02      -1.107957677901e+03      -7.201462816448e-03      -1.597425529255e+00      -1.597425529255e+00      -1.597425529255e+00      -1.029996285952e+03      -1.084209150021e+03       5.525329900506e-03       5.525329722699e-03       2.215915123040e+03       1.740650431560e+00       9.289081238190e-03      -2.522623517308e-07       5.858842993195e-07      -4.505176670204e-10      -1.737318266031e-07       8.607022438997e-01       8.703250448772e-01       1.739160798205e+00      -1.709027560919e-07       2.667755215943e-03       2.667755215941e-03       2.667755215942e-03       8.234160032920e-01 
       6.505372296394e-01      -7.149609535128e-03      -9.564728832317e+02      -1.110281208387e+03      -7.146883998397e-03      -1.587152749714e+00      -1.587152749714e+00      -1.587152749714e+00      -1.032158726914e+03      -1.086486030318e+03       5.482282837225e-03       5.482282656470e-03       2.220562183537e+03       1.744304692368e+00       9.216711001602e-03      -2.502814775205e-07       5.830006544273e-07      -4.472258045450e-10      -1.706508205802e-07       8.625113319527e-01       8.721521783403e-01       1.742812276281e+00      -1.678437781777e-07       2.731112286923e-03       2.731112286883e-03       2.731112286922e-03       8.251474815543e-01 
       6.537554602444e-01      -7.095693396108e-03      -9.584814371526e+02      -1.112593034759e+03      -7.092988997502e-03      -1.576266851217e+00      -1.576266851217e+00      -1.576266851217e+00      -1.034309768346e+03      -1.088750938194e+03       5.439753575385e-03       5.439753397441e-03       2.225185835769e+03       1.747939865145e+00       9.145211661080e-03      -2.483675974768e-07       5.787762820922e-07      -4.439488361808e-10      -1.691117874343e-07       8.643105643028e-01       8.739697662460e-01       1.746444616601e+00      -1.663265102809e-07       2.611880871816e-03       2.611880871816e-03       2.611880871818e-03       8.268619418345e-01 
       6.569736909243e-01      -7.042389835808e-03      -9.604746396089e+02      -1.114892197016e+03      -7.039706326466e-03      -1.564239698069e+00      -1.564239698069e+00      -1.564239698069e+00      -1.036448335358e+03      -1.091002766230e+03       5.397727522452e-03       5.397727357595e-03       2.229784159813e+03       1.751554189932e+00       9.074558799892e-03      -2.464354610439e-07       5.721953626141e-07      -4.407135969351e-10      -1.698747875695e-07       8.660989807244e-01       8.757769278548e-01       1.750056046405e+00      -1.671110205141e-07       2.670638290396e-03       2.670638290397e-03       2.670638290396e-03       8.285741923307e-01 
