# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=40
# for k=1.04863e-05 to 26.3672 h/Mpc,
# number of wavenumbers equal to 126
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:h                     10:h_prime               11:eta                   12:eta_prime             13:H_T_Nb_prime          14:t_g                   15:t_b                   16:t_cdm                 17:t_ur                  18:t_tot              
       9.867289507523e-02      -1.109603616284e-01      -3.135457757243e+02      -3.770770910403e+02      -1.109204364010e-01      -3.630550180491e+02       8.128880471142e-02       8.128880471142e-02       7.541483230528e+02       5.981062221420e-01       1.358226880025e-01      -1.203625326849e-06       3.719569589538e-08      -3.613723097563e-06       2.943003152785e-01       2.990495373385e-01      -3.573732514111e-06       2.936946410605e-01 
       1.021376557984e-01      -1.060541848701e-01      -3.198850471386e+02      -3.863763955067e+02      -1.060160316524e-01      -3.717974656876e+02       7.769423380078e-02       7.769423380078e-02       7.727471816389e+02       6.125264713150e-01       1.298181787003e-01      -1.152344035027e-06       3.561081659219e-08      -3.459665277274e-06       3.013358974861e-01       3.062598142018e-01      -3.421455692413e-06       3.007667335506e-01 
       1.056902729274e-01      -1.017137891114e-01      -3.289501831738e+02      -3.967115487248e+02      -1.016771825279e-01      -3.818195680668e+02       7.451477084942e-02       7.451477084942e-02       7.934177389178e+02       6.289947911938e-01       1.245022848657e-01      -1.100818577998e-06       3.401839082678e-08      -3.305127621013e-06       3.095832933203e-01       3.144941271436e-01      -3.268453304598e-06       3.088753008237e-01 
       1.093374698076e-01      -9.791089112133e-02      -3.410835516326e+02      -4.082969049901e+02      -9.787561959211e-02      -3.933525591999e+02       7.172957422638e-02       7.172957422638e-02       8.165886998402e+02       6.478901570661e-01       1.198409980684e-01      -1.049778542177e-06       3.244153080215e-08      -3.152313612726e-06       3.192353421175e-01       3.239419615871e-01      -3.116945956330e-06       3.182073950574e-01 
       1.130857605815e-01      -9.457080075037e-02      -3.562181303168e+02      -4.211925786163e+02      -9.453668547011e-02      -4.064365999064e+02       6.928374488574e-02       6.928374488574e-02       8.423802885870e+02       6.692857086851e-01       1.157439261825e-01      -1.000171601331e-06       3.090846362573e-08      -3.003897120463e-06       3.303039622436e-01       3.346398846968e-01      -2.969645750014e-06       3.287952984225e-01 
       1.169415097575e-01      -9.157740541869e-02      -3.738034854371e+02      -4.352637604621e+02      -9.154431693150e-02      -4.208755215727e+02       6.709200010626e-02       6.709200010626e-02       8.705228822245e+02       6.928749771752e-01       1.120702952520e-01      -9.529070168375e-07       2.944871293300e-08      -2.862658524374e-06       3.425812891350e-01       3.464346591982e-01      -2.829389436757e-06       3.404799110376e-01 
       1.209109769207e-01      -8.878519119484e-02      -3.927991439401e+02      -4.501641525601e+02      -8.875306071914e-02      -4.362219591121e+02       6.504749796570e-02       6.504749796570e-02       9.003238806561e+02       7.179465714577e-01       1.086434790999e-01      -9.088868075447e-07       2.808869961938e-08      -2.731068156576e-06       3.556298981532e-01       3.589705870131e-01      -2.698715744912e-06       3.528987252013e-01 
       1.250003503406e-01      -8.603816031674e-02      -4.117654358176e+02      -4.653571184927e+02      -8.600698304658e-02      -4.518088070736e+02       6.303573604788e-02       6.303573604788e-02       9.307100081010e+02       7.434331834140e-01       1.052739480972e-01      -8.687101881337e-07       2.684712069980e-08      -2.610851392055e-06       3.688166115567e-01       3.717140122857e-01      -2.579421323857e-06       3.655113516544e-01 
       1.292157722394e-01      -8.319404271838e-02      -4.290661369498e+02      -4.801857661631e+02      -8.316387109781e-02      -4.668385560358e+02       6.095233090844e-02       6.095233090844e-02       9.603674792266e+02       7.680538871021e-01       1.017886793868e-01      -8.326149448076e-07       2.573120259138e-08      -2.502639928273e-06       3.813992666576e-01       3.840244713503e-01      -2.472200777125e-06       3.776719216701e-01 
       1.335633578254e-01      -8.014882765994e-02      -4.431624945930e+02      -4.939859247390e+02      -8.011975468479e-02      -4.805223641999e+02       5.872102929706e-02       5.872102929706e-02       9.879679533648e+02       7.905369501600e-01       9.806099414762e-02      -8.003508924879e-07       2.473461778731e-08      -2.405782547608e-06       3.926580320847e-01       3.952660986336e-01      -2.376446387519e-06       3.887417679903e-01 
       1.380492097583e-01      -7.685941004490e-02      -4.529857726404e+02      -5.062425036055e+02      -7.683154360249e-02      -4.922673247772e+02       5.631031076709e-02       5.631031076709e-02       1.012481252394e+03       8.099210433452e-01       9.403810726317e-02      -7.713590237943e-07       2.383763196507e-08      -2.318368958052e-06       4.020683395053e-01       4.049582314104e-01      -2.290262230579e-06       3.982410611575e-01 
       1.426794294205e-01      -7.335436626324e-02      -4.582783040254e+02      -5.167378568876e+02      -7.332779946358e-02      -5.018522741165e+02       5.374127703894e-02       5.374127703894e-02       1.033472089413e+03       8.258387624413e-01       8.975427495218e-02      -7.445566082352e-07       2.300946479712e-08      -2.237460694698e-06       4.094610354202e-01       4.129171705297e-01      -2.210690936705e-06       4.059911453098e-01 
       1.474601261778e-01      -6.973150923439e-02      -4.598254525899e+02      -5.256670199836e+02      -6.970629229117e-02      -5.095593565827e+02       5.108582812443e-02       5.108582812443e-02       1.051330540998e+03       8.387302115501e-01       8.532789260634e-02      -7.188124510922e-07       2.221342673712e-08      -2.159582473428e-06       4.151378626239e-01       4.193629715678e-01      -2.134207205153e-06       4.122209836664e-01 
